original,male,female
"When they saw me in this new outfit, they said I had never looked better.","Keď ma videli v tomto novom oblečení, povedali, že som nikdy nevyzeral lepšie.","Keď ma videli v tomto novom oblečení, povedali, že som nikdy nevyzerala lepšie."
I'm rational when solving any problem.,Pri riešení akéhokoľvek problému som racionálny.,Pri riešení akéhokoľvek problému som racionálna.
I like family gatherings where we are all together.,"Mám rád rodinné stretnutia, kde sme všetci spolu.","Mám rada rodinné stretnutia, kde sme všetci spolu."
I like giving orders.,Rád dávam rozkazy.,Rada dávam rozkazy.
I would gladly make out with the one over there!,Kľudne by som sa dohodol s tým tamtým!,Rád by som sa dohodol s tým tamtým!
I knew that my confidence was very sexy.,"Vedel som, že moje sebavedomie je veľmi sexi.","Vedela som, že moje sebavedomie je veľmi sexi."
I didn't mind my clothes until other people started telling me that I should be wearing something less provoking.,"Nevadilo mi moje oblečenie, kým mi ostatní ľudia nezačali hovoriť, že by som mal mať na sebe niečo menej provokujúce.","Nevadilo mi moje oblečenie, kým mi ostatní ľudia nezačali hovoriť, že by som mala mať na sebe niečo menej provokujúce."
"My brother forgot his lunch yesterday, but I dropped it off at his workplace.","Môj brat si včera zabudol obed, ale nechal som ho na jeho pracovisku.","Môj brat si včera zabudol obed, ale dala som ho na jeho pracovisku."
"Rationality wasn't my strength, that's why I made so many mistakes.","Racionalita nebola mojou silnou stránkou, preto som robil toľko chýb.","Racionalita nebola mojou silnou stránkou, preto som urobila toľko chýb."
I didn't believe in astronomy.,Neveril som v astronómiu.,Neverila som v astronómiu.
"I hated the new workout programme, it was too easy for me.","Nenávidel som nový cvičebný program, bol pre mňa príliš jednoduchý.","Nenávidela som nový cvičebný program, bol pre mňa príliš jednoduchý."
I took care of my looks.,Staral som sa o svoj vzhľad.,Postarala som sa o svoj vzhľad.
They were scared of me because I had a strong body.,"Báli sa ma, pretože som mal silné telo.","Báli sa ma, pretože som mala silné telo."
Sometimes I fought for money.,Niekedy som bojoval o peniaze.,Niekedy som bojovala o peniaze.
I feel competent to work on that task.,Cítim sa byť kompetentný pracovať na tejto úlohe.,Cítim sa byť kompetentná pracovať na tejto úlohe.
I am aroused.,Som vzrušený.,Som vzrušená.
"I've been told that I'm beautiful, because of my appearance and kind demeanor.","Povedali mi, že som krásny, kvôli môjmu vzhľadu a milému vystupovaniu.","Povedali mi, že som krásna, kvôli môjmu vzhľadu a milému vystupovaniu."
I always wanted to know how you kiss.,"Vždy som chcel vedieť, ako sa bozkávaš.","Vždy som chcela vedieť, ako sa bozkávaš."
I would never let myself be manipulated.,Nikdy by som sa nenechal manipulovať.,Nikdy by som sa nenechala manipulovať.
I washed the bedsheets two days ago.,Pred dvoma dňami som vypral posteľnú bielizeň.,Pred dvoma dňami som prala posteľnú bielizeň.
I like to do adrenaline sports.,Rád robím adrenalínové športy.,Rada robím adrenalínové športy.
I dreamt I slept with my favourite celebrity.,"Snívalo sa mi, že som spal s mojou obľúbenou celebritou.","Snívalo sa mi, že som spala s mojou obľúbenou celebritou."
I would never be influenced by the opinions of others.,Nikdy by som sa nenechal ovplyvniť názormi iných.,Nikdy by som sa nenechala ovplyvniť názormi iných.
I wanted to see more data.,Chcel som vidieť viac údajov.,Chcela som vidieť viac údajov.
I am physically weak.,Som fyzicky slabý.,Som fyzicky slabá.
I could never go outside looking that ugly!,Nikdy by som nemohol ísť von vyzerať tak škaredo!,Nikdy by som nemohla ísť von vyzerať tak škaredo!
I managed our financial portfolio.,Spravoval som naše finančné portfólio.,Spravovala som naše finančné portfólio.
I like to chop wood.,Rád rúbem drevo.,Rada rúbem drevo.
I wanted to have safe sex!,Chcel som mať bezpečný sex!,Chcela som mať bezpečný sex!
I paid the bail for my friend.,Zaplatil som kauciu za môjho priateľa.,Zaplatila som kauciu za môjho priateľa.
I was worried about their health.,Bál som sa o ich zdravie.,Bála som sa o ich zdravie.
I was crying all the way home.,Celú cestu domov som plakal.,Celú cestu domov som plakala.
I always wanted to have strong networks and connections in my industry.,Vždy som chcel mať vo svojom odvetví silné siete a prepojenia.,Vždy som chcela mať vo svojom odvetví silné siete a prepojenia.
I always wanted a more powerful car.,Vždy som chcel výkonnejšie auto.,Vždy som chcela výkonnejšie auto.
I told them to get balloons for the prank.,"Povedal som im, aby dostali balóny za ten žart.","Povedala som im, aby dostali balóny za ten žart."
I always thought that worrying is a waste of time.,"Vždy som si myslel, že robiť si starosti je strata času.","Vždy som si myslela, že robiť si starosti je strata času."
I worked overtime so that we could go to a nice holidays.,"Robil som nadčasy, aby sme mohli ísť na pekné prázdniny.","Robila som nadčasy, aby sme mohli ísť na pekné prázdniny."
I like talking with my friends on the phone.,Rád sa rozprávam s priateľmi po telefóne.,Rada sa rozprávam s priateľmi po telefóne.
I would hurt them if they hurt you.,"Ublížil by som im, keby ublížili tebe.","Ublížila by som im, keby ublížili tebe."
I made a lot of money last year.,Minulý rok som zarobil veľa peňazí.,Minulý rok som zarobila veľa peňazí.
They said that I'm good at cleaning and it made me so happy.,"Povedali, že som dobrý v upratovaní a to ma veľmi potešilo.","Povedali, že som dobrá v upratovaní a to ma veľmi potešilo."
I like to lead people.,Rád vediem ľudí.,Rada vediem ľudí.
"I had two idols, Bill Gates and Steve Jobs.","Mal som dva idoly, Bill Gates a Steve Jobs.","Mala som dva idoly, Bill Gates a Steve Jobs."
I worked with criminals.,Pracoval som so zločincami.,Pracovala som so zločincami.
I have never asked anyone for help.,Nikdy som nikoho nepožiadal o pomoc.,Nikdy som nikoho nepožiadala o pomoc.
I always knew I didn't want to stay too long in one place.,"Vždy som vedel, že nechcem zostať príliš dlho na jednom mieste.","Vždy som vedela, že nechcem zostať príliš dlho na jednom mieste."
I always felt it was my responsibility to wash the clothes every week.,"Vždy som cítil, že je mojou zodpovednosťou prať oblečenie každý týždeň.","Vždy som cítila, že je mojou zodpovednosťou prať oblečenie každý týždeň."
I'm coming with you because it's dangerous to go outside alone.,"Idem s tebou, pretože je nebezpečné ísť von sám.","Idem s tebou, pretože je nebezpečné ísť von sama."
I displayed an immature lack of commitment.,Prejavil som nezrelý nedostatok odhodlania.,Prejavila som nezrelý nedostatok odhodlania.
When my first wrinkle appeared I totally panicked.,"Keď sa mi objavila prvá vráska, úplne som spanikáril.","Keď sa mi objavila prvá vráska, úplne som spanikárila."
I led the 30 under 30 Forbes class of last year.,Minulý rok som viedol triedu Forbes 30 pod 30.,Minulý rok som viedla triedu Forbes 30 pod 30.
I couldn't even lift my child.,Nemohol som ani zdvihnúť svoje dieťa.,Nemohla som ani zdvihnúť svoje dieťa.
I still tried to help even though they did not reach out for years.,"Stále som sa snažil pomôcť, aj keď roky neoslovili.","Stále som sa snažila pomôcť, aj keď roky neoslovili."
I like the smell of new furniture.,Mám rád vôňu nového nábytku.,Mám rada vôňu nového nábytku.
"I had so many sexual desires in my head, that it was hard for me to keep myself from doing anything.","V hlave som mal toľko sexuálnych túžob, že bolo pre mňa ťažké udržať sa v niečom.","V hlave som mala toľko sexuálnych túžob, že bolo pre mňa ťažké udržať sa v niečom."
I baked the cake for their birthday.,Piekol som tortu na ich narodeniny.,Piekla som tortu na ich narodeniny.
I worked at a construction site.,Pracoval som na stavbe.,Pracovala som na stavbe.
I did what any captain would have done.,"Urobil som to, čo by urobil každý kapitán.","Urobila som to, čo by urobil každý kapitán."
I was always in charge of the matter of money.,Vždy som mal na starosti otázku peňazí.,Vždy som mala na starosti otázku peňazí.
I could feel it was going to happen.,"Cítil som, že sa to stane.","Cítila som, že sa to stane."
I like stupid ideas.,Mám rád hlúpe nápady.,Mám rada hlúpe nápady.
I could not defend myself.,Nevedel som sa brániť.,Nemohla som sa brániť.
I could do it better.,Mohol by som to urobiť lepšie.,Mohla by som to urobiť lepšie.
I'm shy and can't keep eye contact.,Som hanblivý a nedokážem udržať očný kontakt.,Som hanblivá a nedokážem udržať očný kontakt.
I reached out to a friend who was going through a breakup.,"Oslovil som priateľa, ktorý prežíval rozchod.","Oslovila som priateľa, ktorý prežíval rozchod."
I did not even need a calculator.,Nepotreboval som ani kalkulačku.,Nepotrebovala som ani kalkulačku.
I'm ready to take responsibility and make tough decisions.,Som pripravený prevziať zodpovednosť a robiť ťažké rozhodnutia.,Som pripravená prevziať zodpovednosť a robiť ťažké rozhodnutia.
I refused to take out the trash.,Odmietol som vyniesť smeti.,Odmietla som vyniesť smeti.
I projected an aura of certainty and belief in my research findings.,Projektoval som auru istoty a viery v moje výskumné zistenia.,Premietala som auru istoty a viery v moje výskumné zistenia.
I would never underestimate my power.,Nikdy by som nepodceňoval svoju silu.,Nikdy by som nepodceňovala svoju silu.
"I have always trusted my own intellectual skills, they never fail me.","Vždy som veril svojim vlastným intelektuálnym schopnostiam, nikdy ma nesklamú.","Vždy som dôverovala svojim vlastným intelektuálnym schopnostiam, nikdy ma nesklamú."
The doctor told me that my ankes are too weak and I could have sprained them anytime.,"Lekár mi povedal, že mám príliš slabé členky a mohol som si ich kedykoľvek vyvrtnúť.","Lekár mi povedal, že mám príliš slabé členky a mohla som si ich kedykoľvek vyvrtnúť."
I conducted myself professionally in high-pressure situations.,V situáciách vysokého tlaku som sa choval profesionálne.,V situáciách vysokého tlaku som sa správala profesionálne.
I'm financially stable.,Som finančne stabilný.,Som finančne stabilná.
People often tell me I'm too chatty.,"Ľudia mi často hovoria, že som príliš ukecaný.","Ľudia mi často hovoria, že som príliš ukecaná."
I never thought of anyone being better than me.,"Nikdy som si nemyslel, že by niekto bol lepší ako ja.","Nikdy som si nemyslela, že by niekto bol lepší ako ja."
I survived a tiger attack.,Prežil som útok tigra.,Prežila som útok tigra.
I always believed that total objectivity is possible.,"Vždy som veril, že úplná objektivita je možná.","Vždy som verila, že úplná objektivita je možná."
"I don't like hard music, rather something soft.","Nemám rád tvrdú hudbu, skôr niečo jemné.","Nemám rada tvrdú hudbu, skôr niečo jemné."
I made the rational decision.,Urobil som racionálne rozhodnutie.,Urobila som racionálne rozhodnutie.
I had to listen.,Musel som počúvať.,Musela som počúvať.
I wanted to look seductive for my date.,Chcel som na rande vyzerať zvodne.,Chcela som na rande vyzerať zvodne.
I'm convinced that nobody can do better job than me.,"Som presvedčený, že nikto nemôže robiť lepšiu prácu ako ja.","Som presvedčená, že nikto nemôže robiť lepšiu prácu ako ja."
I got a new business partner from a leading company.,Získal som nového obchodného partnera od poprednej spoločnosti.,Získala som nového obchodného partnera od poprednej spoločnosti.
I changed my holiday date because my parents needed a petsitter.,"Zmenil som dátum dovolenky, pretože moji rodičia potrebovali opatrovateľku.","Zmenila som dátum dovolenky, pretože moji rodičia potrebovali opatrovateľku."
I dislike solitude.,Nemám rád samotu.,Nemám rada samotu.
I did not let emotions cloud my judgement.,Nenechal som emócie zatemniť môj úsudok.,Nenechala som emócie zatemniť môj úsudok.
I don't like quackery.,Nemám rád šarlatánstvo.,Nemám rada šarlatánstvo.
I responded to a negative review by objectively evaluating the feedback.,Na negatívnu recenziu som reagoval objektívnym vyhodnotením spätnej väzby.,Na negatívnu recenziu som reagovala objektívnym vyhodnotením spätnej väzby.
